company_id,company_name,is_fraudulent,is_early_stage_fraud,true_fraud_state,pd_target,fraud_type,cibil_score,dscr,gst_discrepancy_pct,bank_divergence_pct,bounce_rate
company_00001,Vanguard Energy Partnership Firm,0,0,0,0.2111,None,761,1.0778,1.94,2.57,1.3
company_00002,Zenith Solutions LLP,0,0,0,0.0476,None,740,2.2297,2.69,4.47,1.91
company_00003,Sterling Renewables LLP,0,0,0,0.1354,None,704,1.6089,6.42,3.61,1.91
company_00004,Ambika Renewables LLP,0,0,0,0.07,None,762,1.4513,4.41,3.26,1.94
company_00005,Infinity Logistics Partnership Firm,0,0,0,0.1169,None,797,1.9151,3.5,3.11,1.53
company_00006,Tejas Automotive Partnership Firm,0,0,0,0.3057,None,678,1.153,3.86,7.31,3.38
company_00007,Matrix Foods LLP,0,0,0,0.1364,None,743,2.1285,3.37,4.87,2.56
company_00008,Bharat Pharma LLP,0,0,0,0.0808,None,743,1.1452,4.07,4.01,1.2
company_00009,Vanguard Pharma Partnership Firm,0,0,0,0.0216,None,765,1.9691,4.44,2.82,1.4
company_00010,Bhaskar Automotive Private Limited,0,0,0,0.2717,None,786,0.9911,2.7,2.85,1.43
company_00011,Delta Industries Private Limited,0,0,0,0.1834,None,758,1.9484,3.69,7.28,1.67
company_00012,Matrix Retail Private Limited,0,0,0,0.1772,None,783,2.0396,5.87,3.89,1.11
company_00013,Karan Logistics LLP,0,0,0,0.1023,None,730,1.1945,4.67,4.38,1.88
company_00014,Bharat Renewables Partnership Firm,0,0,0,0.263,None,761,1.6503,2.77,3.44,1.47
company_00015,Arogya Infrastructure Private Limited,0,0,0,0.23,None,742,1.3225,1.98,4.18,0.8
company_00016,Tejas Pharma Partnership Firm,0,1,1,0.4542,seasonal_manipulation,810,1.8842,3.53,3.2,2.39
company_00017,Surya Enterprises LLP,0,0,0,0.1379,None,726,0.848,6.3,2.82,3.46
company_00018,Ambika Enterprises LLP,1,0,1,0.9211,circular_trading,668,0.4019,34.15,20.11,13.99
company_00019,Delta Metals LLP,0,0,0,0.2758,None,752,1.426,3.78,3.47,3.19
company_00020,Apex Industries LLP,1,0,1,0.8835,shell_company,543,0.88,36.36,40.73,7.39
company_00021,Karan Infotech LLP,0,0,0,0.1465,None,752,1.6025,9.59,3.92,2.39
company_00022,Surya Power Private Limited,1,0,1,0.5178,seasonal_manipulation,611,0.2826,22.73,18.09,8.41
company_00023,Arogya Builders Private Limited,0,0,0,0.1111,None,740,2.0634,3.99,3.11,4.45
company_00024,Urja Solutions Private Limited,0,0,0,0.2444,None,784,1.2149,1.94,4.55,1.75
company_00025,Zenith Solutions Partnership Firm,0,0,0,0.3359,None,666,2.1531,2.73,8.12,2.91
company_00026,Zenith Logistics Partnership Firm,0,0,0,0.3199,None,711,1.5957,4.09,4.14,3.06
company_00027,Karan Chemicals LLP,0,0,0,0.1139,None,832,1.2234,4.09,3.94,1.83
company_00028,Apex Pharma Private Limited,0,0,0,0.346,None,718,1.9442,5.6,5.5,2.55
company_00029,Apex Metals Partnership Firm,0,0,0,0.1547,None,750,1.8025,4.33,3.96,1.25
company_00030,Surya Retail LLP,0,0,0,0.2757,None,758,1.3134,2.61,3.31,1.12
company_00031,Urja Industries Private Limited,0,0,0,0.1487,None,753,1.4561,4.85,3.86,2.38
company_00032,Delta Textiles LLP,0,0,0,0.265,None,792,1.0067,7.25,3.78,2.77
company_00033,Radhe Industries Private Limited,0,0,0,0.1194,None,736,2.315,2.91,5.18,1.91
company_00034,Zenith Infrastructure Private Limited,0,0,0,0.1715,None,723,1.8224,5.21,4.85,2.44
company_00035,Ganesh Textiles Partnership Firm,0,0,0,0.2492,None,783,1.3656,5.17,3.1,1.82
company_00036,Infinity Automotive Private Limited,1,0,1,0.8795,circular_trading,627,0.6172,28.45,30.02,7.67
company_00037,Zenith Enterprises Private Limited,0,0,0,0.15,None,734,1.622,7.91,3.52,1.52
company_00038,Vidya Foods Partnership Firm,0,0,0,0.046,None,688,0.4991,3.15,3.3,3.5
company_00039,Navrachana Infotech Partnership Firm,0,0,0,0.191,None,727,1.9903,3.16,4.23,2.19
company_00040,Aditya Power Partnership Firm,1,0,1,0.9759,revenue_inflation,665,0.8536,27.52,44.06,11.79
company_00041,Tejas Textiles Private Limited,0,0,0,0.0872,None,759,1.9356,1.22,2.32,3.27
company_00042,Infinity Textiles Partnership Firm,0,0,0,0.1529,None,696,2.0107,5.94,3.73,2.6
company_00043,Navrachana Retail LLP,0,0,0,0.2811,None,761,0.9188,4.45,4.79,1.83
company_00044,Delta Power Private Limited,1,0,1,0.931,revenue_inflation,686,2.1531,42.37,35.73,7.08
company_00045,Shivam Chemicals Private Limited,0,0,0,0.3174,None,738,1.1007,6.5,3.56,1.48
company_00046,Bharat Chemicals Private Limited,0,0,0,0.0264,None,772,1.18,3.64,3.22,2.11
company_00047,Apex Automotive LLP,0,0,0,0.0421,None,759,1.7534,2.25,2.81,0.63
company_00048,Radhe Solutions Partnership Firm,0,0,0,0.2349,None,721,1.0833,3.49,3.38,1.86
company_00049,Tejas Energy Private Limited,0,0,0,0.1042,None,793,1.5696,3.5,2.88,3.3
company_00050,Zenith Solutions Private Limited,0,0,0,0.185,None,751,1.4315,3.47,3.73,2.14
company_00051,Vidya Power LLP,0,0,0,0.1867,None,711,1.3476,1.97,2.95,3.5
company_00052,Hindustan Infrastructure Private Limited,0,0,0,0.1131,None,750,1.7008,4.73,5.49,2.2
company_00053,Vanguard Infotech LLP,0,0,0,0.1527,None,766,1.6049,4.02,8.04,1.74
company_00054,Kalyani Infotech Partnership Firm,0,0,0,0.13,None,713,1.2863,1.99,4.58,1.8
company_00055,Apex Energy LLP,0,0,0,0.1055,None,726,0.6962,11.45,3.14,2.43
company_00056,Arogya Healthcare Private Limited,0,0,0,0.1568,None,747,2.4022,2.35,6.77,1.8
company_00057,Aditya Builders Private Limited,0,0,0,0.087,None,806,2.0491,2.6,3.17,0.26
company_00058,Tejas Solutions LLP,0,0,0,0.1305,None,700,1.0462,6.33,4.14,1.98
company_00059,Kalyani Retail Private Limited,1,0,1,0.8627,circular_trading,693,1.1562,49.12,16.46,6.73
company_00060,Bhaskar Power Private Limited,0,0,0,0.1601,None,693,1.8135,3.59,4.45,3.88
company_00061,Shivam Builders Private Limited,0,0,0,0.1631,None,767,1.5001,2.94,3.12,2.02
company_00062,Bhaskar Enterprises LLP,0,0,0,0.2772,None,737,1.7301,3.65,5.78,2.16
company_00063,Arogya Industries Partnership Firm,0,0,0,0.2507,None,756,1.0742,2.51,4.25,9.53
company_00064,Sterling Foods Partnership Firm,0,0,0,0.1085,None,782,1.2284,2.3,3.23,1.08
company_00065,Zenith Healthcare LLP,0,0,0,0.3172,None,677,1.6356,2.07,3.13,2.07
company_00066,Surya Foods LLP,0,0,0,0.2645,None,699,1.056,5.11,3.84,2.86
company_00067,Ganesh Solutions Private Limited,0,0,0,0.267,None,762,1.1002,7.35,4.74,1.18
company_00068,Bhaskar Renewables Private Limited,0,0,0,0.1938,None,754,1.8538,3.3,4.25,1.05
company_00069,Arogya Builders Partnership Firm,0,0,0,0.0625,None,802,1.4154,3.83,3.54,4.48
company_00070,Urja Power Partnership Firm,0,0,0,0.2749,None,727,1.2911,6.59,3.58,2.53
company_00071,Infinity Energy LLP,0,0,0,0.2619,None,765,1.0336,2.8,3.83,1.46
company_00072,Vidya Metals Partnership Firm,0,0,0,0.2894,None,743,2.1377,5.09,2.87,2.08
company_00073,Aditya Infotech Private Limited,0,0,0,0.1445,None,770,2.017,6.79,5.33,3.02
company_00074,Karan Solutions Partnership Firm,0,0,0,0.0528,None,743,1.0579,3.36,3.71,1.86
company_00075,Sterling Infrastructure Private Limited,0,0,0,0.1929,None,781,2.0373,1.7,10.2,0.73
company_00076,Bhaskar Power LLP,0,0,0,0.2047,None,713,1.8439,1.4,2.67,2.56
company_00077,Urja Infotech LLP,0,0,0,0.0449,None,750,1.9052,2.91,3.86,2.15
company_00078,Aditya Metals LLP,0,0,0,0.052,None,770,2.0744,7.64,4.58,2.4
company_00079,Radhe Automotive Partnership Firm,0,0,0,0.2836,None,704,0.5748,2.22,2.58,2.87
company_00080,Navrachana Automotive LLP,0,0,0,0.2396,None,838,1.7051,4.91,3.09,0.94
company_00081,Shivam Enterprises Private Limited,0,0,0,0.2196,None,752,1.4951,6.62,4.92,2.73
company_00082,Aditya Healthcare Private Limited,0,0,0,0.1782,None,845,1.2127,3.89,4.36,2.09
company_00083,Zenith Chemicals LLP,0,0,0,0.0564,None,793,2.5399,5.37,3.39,2.56
company_00084,Apex Pharma LLP,0,1,1,0.6652,shell_company,770,2.3238,4.71,4.74,0.77
company_00085,Hindustan Infotech LLP,0,0,0,0.0276,None,753,0.9085,6.04,4.06,2.25
company_00086,Radhe Energy Partnership Firm,0,0,0,0.3129,None,776,1.6049,4.36,3.1,1.16
company_00087,Aditya Logistics Partnership Firm,0,0,0,0.0933,None,844,1.589,5.72,3.17,1.28
company_00088,Matrix Renewables Private Limited,0,0,0,0.1402,None,733,1.8562,2.6,2.91,4.02
company_00089,Vanguard Healthcare Private Limited,0,0,0,0.1415,None,766,0.864,7.89,4.78,1.44
company_00090,Urja Chemicals Partnership Firm,0,0,0,0.2811,None,730,1.8689,4.86,3.39,3.37
company_00091,Aditya Logistics Private Limited,1,0,1,0.6286,shell_company,642,0.8558,26.73,29.2,7.49
company_00092,Apex Solutions Partnership Firm,1,0,1,0.9778,benami_siphoning,666,0.7718,17.04,46.54,10.17
company_00093,Bhaskar Retail Private Limited,0,0,0,0.2262,None,842,1.4259,2.02,4.4,0.05
company_00094,Ambika Infotech Private Limited,0,0,0,0.0334,None,745,1.6584,2.86,3.4,2.45
company_00095,Aditya Logistics LLP,0,0,0,0.1006,None,763,1.6544,3.69,5.81,1.61
company_00096,Vanguard Automotive Private Limited,0,0,0,0.2481,None,724,1.684,6.28,3.83,2.46
company_00097,Radhe Enterprises LLP,0,0,0,0.1398,None,769,1.0892,7.67,3.45,1.96
company_00098,Apex Automotive Partnership Firm,0,0,0,0.2059,None,755,1.1479,13.41,5.72,1.7
company_00099,Sterling Builders Partnership Firm,0,0,0,0.2301,None,787,1.5384,4.26,4.19,1.47
company_00100,Ganesh Metals Partnership Firm,0,0,0,0.1156,None,742,2.026,2.81,3.08,1.79
company_00101,Matrix Enterprises Private Limited,0,0,0,0.1164,None,749,1.2944,4.48,5.09,1.45
company_00102,Kalyani Healthcare LLP,1,0,1,0.9782,revenue_inflation,674,1.5979,32.67,32.24,7.26
company_00103,Tejas Builders Private Limited,1,0,1,0.7557,evergreening,690,0.9552,15.72,6.64,14.31
company_00104,Radhe Healthcare LLP,0,0,0,0.2766,None,694,1.2071,6.6,5.79,3.92
company_00105,Karan Automotive LLP,0,0,0,0.0245,None,735,1.4996,4.02,3.38,2.57
company_00106,Ambika Energy Private Limited,0,0,0,0.2166,None,738,1.5899,3.8,3.41,1.89
company_00107,Matrix Healthcare LLP,0,0,0,0.018,None,686,1.0149,5.67,4.7,3.51
company_00108,Zenith Industries Partnership Firm,0,0,0,0.3187,None,802,1.2257,5.37,4.8,1.75
company_00109,Matrix Foods Partnership Firm,0,0,0,0.2433,None,755,1.1606,8.35,3.03,2.23
company_00110,Karan Energy Private Limited,0,0,0,0.0422,None,777,1.4342,9.27,3.34,0.8
company_00111,Vidya Retail Private Limited,0,0,0,0.0402,None,737,1.2624,6.68,3.7,1.39
company_00112,Delta Foods Partnership Firm,0,0,0,0.3251,None,724,1.8734,2.77,3.46,2.01
company_00113,Apex Chemicals LLP,0,0,0,0.127,None,737,1.2912,2.65,4.1,5.38
company_00114,Surya Energy Partnership Firm,0,0,0,0.2415,None,789,1.6707,3.64,2.82,2.39
company_00115,Shivam Renewables Partnership Firm,0,0,0,0.1265,None,775,1.452,3.82,3.19,1.75
company_00116,Bhaskar Automotive Partnership Firm,1,0,1,0.8915,shell_company,606,0.8187,53.98,44.81,9.75
company_00117,Infinity Builders Private Limited,0,0,0,0.2815,None,730,3.1847,3.95,3.36,3.71
company_00118,Radhe Infrastructure LLP,0,0,0,0.3333,None,755,1.3937,2.53,3.73,1.91
company_00119,Tejas Automotive Private Limited,0,0,0,0.2439,None,782,1.0565,4.15,3.2,5.0
company_00120,Delta Healthcare LLP,0,0,0,0.3376,None,780,1.2473,2.74,3.19,1.82
company_00121,Delta Pharma Partnership Firm,0,0,0,0.1548,None,730,1.9082,2.85,5.26,3.01
company_00122,Urja Infrastructure LLP,0,0,0,0.3146,None,706,1.0662,1.29,2.55,4.01
company_00123,Bharat Builders Private Limited,0,0,0,0.0152,None,683,1.5512,5.09,9.03,2.58
company_00124,Hindustan Renewables LLP,0,0,0,0.2861,None,740,1.9992,3.29,5.58,2.89
company_00125,Hindustan Metals Private Limited,0,0,0,0.1756,None,757,1.7443,3.49,5.12,1.6
company_00126,Urja Industries LLP,0,0,0,0.1181,None,801,1.6004,8.54,7.92,2.66
company_00127,Infinity Pharma Private Limited,0,0,0,0.2771,None,802,1.4855,6.4,3.5,2.16
company_00128,Urja Enterprises Partnership Firm,0,0,0,0.0432,None,741,1.8467,4.77,3.88,1.39
company_00129,Bharat Energy Partnership Firm,1,0,1,0.987,shell_company,601,0.5213,31.97,30.17,9.69
company_00130,Shivam Retail Partnership Firm,0,0,0,0.1633,None,747,1.3554,9.94,5.54,2.93
company_00131,Vanguard Retail Partnership Firm,0,0,0,0.3011,None,761,1.742,5.6,8.63,1.67
company_00132,Zenith Retail Partnership Firm,0,0,0,0.232,None,749,1.4928,5.73,6.12,1.8
company_00133,Tejas Retail Private Limited,0,0,0,0.1657,None,670,1.532,3.35,3.82,5.31
company_00134,Zenith Infrastructure Partnership Firm,0,0,0,0.1706,None,780,1.4897,3.59,3.63,0.8
company_00135,Karan Healthcare Partnership Firm,0,0,0,0.3223,None,757,1.1674,1.49,7.26,0.88
company_00136,Apex Textiles Partnership Firm,0,0,0,0.2584,None,744,2.2875,7.76,2.99,3.21
company_00137,Infinity Foods Private Limited,0,0,0,0.2152,None,759,1.1461,3.9,2.34,0.79
company_00138,Shivam Textiles Partnership Firm,0,0,0,0.0948,None,809,1.3458,2.78,3.51,3.09
company_00139,Surya Textiles Private Limited,0,0,0,0.2204,None,851,1.367,8.79,3.24,2.11
company_00140,Vidya Pharma Partnership Firm,1,0,1,0.9328,benami_siphoning,650,1.1515,26.56,23.22,7.12
company_00141,Kalyani Enterprises Private Limited,1,0,1,0.9721,circular_trading,560,1.154,46.31,22.47,13.56
company_00142,Karan Renewables Partnership Firm,0,0,0,0.265,None,722,0.9959,4.56,3.88,5.47
company_00143,Shivam Metals LLP,0,0,0,0.1186,None,752,0.7279,4.4,2.96,1.26
company_00144,Delta Power LLP,1,0,1,0.9635,circular_trading,648,0.704,46.05,30.56,9.31
company_00145,Ambika Automotive Private Limited,1,0,1,0.8567,revenue_inflation,632,0.9888,61.96,32.09,8.16
company_00146,Matrix Builders Partnership Firm,0,0,0,0.2996,None,800,1.8898,5.98,3.96,1.28
company_00147,Ganesh Textiles Private Limited,0,0,0,0.263,None,805,1.2878,2.51,3.55,2.47
company_00148,Arogya Energy Partnership Firm,0,0,0,0.2082,None,751,1.7406,7.57,4.01,2.19
