company_id,company_name,is_fraudulent,is_early_stage_fraud,true_fraud_state,pd_target,fraud_type,cibil_score,dscr,gst_discrepancy_pct,bank_divergence_pct,bounce_rate
company_00001,Ambika Power Private Limited,0,0,0,0.1993,None,694,1.1688,2.46,3.21,2.29
company_00002,Shivam Power Partnership Firm,0,0,0,0.3276,None,710,1.2896,2.65,5.62,2.25
company_00003,Sterling Power Partnership Firm,0,0,0,0.1104,None,796,1.8134,4.45,3.2,0.3
company_00004,Zenith Metals Private Limited,1,0,1,0.9616,seasonal_manipulation,678,0.9953,30.47,10.58,6.93
company_00005,Matrix Healthcare Partnership Firm,1,0,1,0.8665,revenue_inflation,697,1.2643,41.17,41.62,11.0
company_00006,Urja Solutions Partnership Firm,0,0,0,0.0486,None,789,1.5395,5.32,3.97,1.81
company_00007,Sterling Infotech LLP,0,0,0,0.1082,None,681,1.2857,4.8,5.04,3.1
company_00008,Karan Enterprises Partnership Firm,0,0,0,0.2827,None,779,0.9837,3.51,7.79,2.13
company_00009,Bhaskar Renewables Partnership Firm,0,0,0,0.3191,None,713,1.4542,7.56,6.06,2.99
company_00010,Arogya Retail Partnership Firm,0,0,0,0.109,None,753,1.4678,5.04,3.58,2.95
company_00011,Aditya Infrastructure LLP,0,0,0,0.0726,None,844,1.1068,2.79,4.04,2.16
company_00012,Karan Automotive LLP,0,0,0,0.0465,None,695,1.8364,11.23,3.79,3.05
company_00013,Ganesh Industries Private Limited,0,0,0,0.2495,None,753,1.3261,17.08,4.38,1.53
company_00014,Urja Builders Partnership Firm,0,0,0,0.2333,None,736,1.7215,10.43,3.86,2.44
company_00015,Vanguard Metals LLP,0,0,0,0.3014,None,754,1.6504,3.39,2.63,5.39
company_00016,Ambika Infrastructure LLP,0,0,0,0.1973,None,761,0.9781,3.86,3.91,4.29
company_00017,Vidya Energy Partnership Firm,0,0,0,0.2693,None,737,1.411,2.81,4.51,2.29
company_00018,Urja Metals Private Limited,0,0,0,0.036,None,727,2.1576,3.89,2.83,1.87
company_00019,Tejas Textiles Private Limited,0,0,0,0.2683,None,671,0.7877,3.44,2.93,2.18
company_00020,Hindustan Energy LLP,1,0,1,0.9393,circular_trading,610,1.0216,27.79,22.17,12.26
company_00021,Bhaskar Textiles Partnership Firm,0,0,0,0.2978,None,770,1.2527,3.01,3.65,1.46
company_00022,Bharat Logistics Private Limited,0,0,0,0.295,None,787,1.9282,3.13,2.73,3.27
company_00023,Arogya Energy Private Limited,0,0,0,0.2671,None,701,1.3122,5.17,2.46,2.9
company_00024,Vidya Industries Private Limited,0,0,0,0.1683,None,757,1.4724,2.98,3.58,1.1
company_00025,Navrachana Retail Partnership Firm,1,0,1,0.7315,shell_company,552,1.4809,36.89,20.64,6.08
company_00026,Arogya Industries LLP,1,0,1,0.967,circular_trading,610,0.272,39.65,30.91,8.13
company_00027,Urja Chemicals LLP,0,0,0,0.3459,None,732,0.9868,8.06,3.23,5.26
company_00028,Ambika Industries Private Limited,0,0,0,0.1884,None,808,1.644,5.19,6.42,1.65
company_00029,Infinity Renewables LLP,0,0,0,0.0947,None,761,0.8905,8.64,3.67,3.69
company_00030,Urja Foods Private Limited,0,0,0,0.0911,None,790,1.4405,5.36,2.98,3.43
company_00031,Urja Healthcare Private Limited,0,0,0,0.145,None,724,1.3119,1.6,4.59,2.25
company_00032,Zenith Enterprises Private Limited,0,1,1,0.532,revenue_inflation,780,0.885,4.34,3.71,1.31
company_00033,Ambika Power LLP,0,0,0,0.1473,None,785,1.2098,3.95,5.74,2.11
company_00034,Infinity Industries LLP,1,0,1,0.5687,revenue_inflation,634,0.8481,29.57,26.57,4.66
company_00035,Shivam Automotive LLP,0,0,0,0.1208,None,739,1.8566,2.63,2.91,1.41
company_00036,Tejas Logistics Private Limited,0,0,0,0.2679,None,731,1.3893,3.82,2.98,2.55
company_00037,Bharat Textiles LLP,0,0,0,0.32,None,727,1.2074,5.56,3.43,2.39
company_00038,Bhaskar Solutions LLP,0,0,0,0.0191,None,674,1.0939,3.7,3.48,2.83
company_00039,Radhe Chemicals LLP,0,0,0,0.0887,None,721,1.7963,7.59,3.52,2.93
company_00040,Aditya Automotive LLP,0,0,0,0.1247,None,766,1.9789,3.94,3.03,2.48
company_00041,Aditya Solutions Private Limited,0,0,0,0.222,None,668,1.2908,2.68,5.16,3.05
company_00042,Shivam Enterprises Private Limited,0,0,0,0.1182,None,778,1.4614,6.6,4.87,1.65
company_00043,Vidya Infotech Partnership Firm,0,0,0,0.1929,None,752,1.1531,4.46,3.15,1.08
